Reference,WKT Polygon
AS-018082,"POLYGON ((145.03141253855 -37.9388229285201, 145.031615778991 -37.9386816022207, 145.031644412469 -37.9387129914657, 145.032638055459 -37.9388391073067, 145.032678028171 -37.9388165257359, 145.03263815632 -37.939006005401, 145.032611301259 -37.9389761781264, 145.03141253855 -37.9388229285201))"
AS-018083,"POLYGON ((145.015422940307 -37.9084394408747, 145.015511136204 -37.9084503908212, 145.015627672101 -37.908464882675, 145.015589336809 -37.908486224651, 145.015384360248 -37.909718541951, 145.015213449222 -37.9096999784461, 145.015422940307 -37.9084394408747))"
AS-018085,"POLYGON ((144.995477412109 -37.9045301593601, 144.99576255697 -37.9030416009636, 144.99590355363 -37.9030511219129, 144.995618284401 -37.9045359837724, 144.995634641187 -37.9045493293626, 144.995565945668 -37.9045409497154, 144.995477412109 -37.9045301593601))"
AS-018084,"POLYGON ((145.029298387063 -37.9427664523876, 145.029345637177 -37.9425652924031, 145.029354523051 -37.9425776971607, 145.029366992698 -37.9425879991594, 145.029382382916 -37.9425954663527, 145.029399452161 -37.9425997174713, 145.030323277628 -37.9427086428054, 145.030304309677 -37.9428436805461, 145.02937447826 -37.9427337532538, 145.029353999752 -37.9427335903816, 145.029336604971 -37.9427372640764, 145.029320941034 -37.9427443010884, 145.029307929915 -37.9427542662823, 145.029298387063 -37.9427664523876))"
AS-018087,"POLYGON ((145.042925497792 -37.9687094322647, 145.042691836623 -37.9688193605007, 145.042023109068 -37.9687361345173, 145.041779891587 -37.9687044187959, 145.041589159858 -37.9686809662486, 145.041564167206 -37.9686919047018, 145.041541601026 -37.9686972062179, 145.041518215538 -37.9686990696548, 145.041494814411 -37.9686972380474, 145.041472414521 -37.9686919986817, 145.041451587182 -37.9686832709572, 145.041433112123 -37.9686716986773, 145.041418124789 -37.9686573908712, 145.041406603633 -37.9686411582306, 145.041399333168 -37.9686234644058, 145.041396635591 -37.9686050356965, 145.041398373176 -37.9685867709748, 145.041404550707 -37.9685684900869, 145.041414897524 -37.9685518106223, 145.041429176483 -37.9685370890964, 145.04144692048 -37.9685247683108, 145.041467204885 -37.9685153735635, 145.041489337424 -37.9685092537896, 145.041512630613 -37.9685065777714, 145.041536169401 -37.9685075105017, 145.041558815957 -37.9685120330303, 145.041580233722 -37.9685199595197, 145.041599180657 -37.9685309088192, 145...."
AS-018086,"POLYGON ((145.030304309677 -37.9428436805461, 145.030323277628 -37.9427086428054, 145.030771008508 -37.9427615586274, 145.032866486621 -37.9430188514466, 145.032909902715 -37.9429952460228, 145.032857927095 -37.9431904709059, 145.032852581019 -37.9431775849088, 145.032843205872 -37.9431664338618, 145.032830360767 -37.9431573875822, 145.032814929227 -37.9431514521306, 145.032798271372 -37.9431488304879, 145.030304309677 -37.9428436805461))"
AS-018088,"POLYGON ((145.044695501806 -37.9745827557966, 145.044733849487 -37.9743903638536, 145.044763490182 -37.974423118439, 145.046338611392 -37.9746209709548, 145.046580988088 -37.9746508611414, 145.047333821667 -37.9747458218447, 145.047374936053 -37.9747237050986, 145.047335777773 -37.9749125699598, 145.047305374178 -37.9748827771889, 145.044735021359 -37.9745607035783, 145.044695501806 -37.9745827557966))"
AS-018089,"POLYGON ((145.049646238774 -37.9793291378602, 145.049557041923 -37.979318196074, 145.049440270274 -37.9793038229441, 145.049480407773 -37.9792799770773, 145.049541048606 -37.9789805344973, 145.049539946688 -37.9789619522135, 145.049534164661 -37.9789438329952, 145.049524250065 -37.9789269969734, 145.049488866072 -37.9788917151512, 145.049476922175 -37.9788741245303, 145.049469113237 -37.9788551606367, 145.04946587776 -37.9788354615611, 145.049467087631 -37.9788155658776, 145.049472839952 -37.9787961060128, 145.049482771855 -37.9787778869952, 145.049496873799 -37.9787612691316, 145.049514327721 -37.9787470498992, 145.049534898865 -37.978735495752, 145.049557667297 -37.9787269518949, 145.049582049712 -37.9787219493501, 145.049607024301 -37.9787203810512, 145.049632128714 -37.9787225096783, 145.049656345912 -37.9787280480122, 145.049678879301 -37.9787369828406, 145.04969893944 -37.9787490307208, 145.049715971638 -37.9787636417544, 145.04972941405 -37.9787805362743, 145.049738716754 -37.9787989842282, 145.0497..."
AS-018090,"POLYGON ((145.013762541484 -37.9192150004661, 145.01379998323 -37.9191890481414, 145.014062050845 -37.9177057328871, 145.014233158908 -37.9177261039091, 145.013971573677 -37.9192085265525, 145.014005362145 -37.9192422599705, 145.013865751736 -37.9192264756171, 145.013762541484 -37.9192150004661))"
AS-018092,"POLYGON ((145.005117554573 -37.9242800824936, 145.005148712393 -37.9241164182712, 145.008019133159 -37.9244568570139, 145.007993024578 -37.9245938428957, 145.006016368874 -37.9243574115767, 145.005565545723 -37.9243058822572, 145.005155814214 -37.9242577515419, 145.005117554573 -37.9242800824936))"
AS-018091,"POLYGON ((145.014243093343 -37.915576082222, 145.014366288158 -37.9155844697613, 145.014482332023 -37.9155922859002, 145.014445613344 -37.9156168088118, 145.014332205423 -37.9162385037916, 145.0142574067 -37.9166384417599, 145.014118749495 -37.9174163333756, 145.014238516208 -37.9176960952958, 145.014233158908 -37.9177261039091, 145.014062050845 -37.9177057328871, 145.013939667031 -37.9174302522237, 145.014271590057 -37.9155992726818, 145.014243093343 -37.915576082222))"
AS-018093,"POLYGON ((145.007993024578 -37.9245938428957, 145.008019133159 -37.9244568570139, 145.010689877181 -37.9247736632585, 145.010726802472 -37.9247501363963, 145.010710242431 -37.9248453801118, 145.010693149802 -37.9249434985526, 145.01066426185 -37.9249136319747, 145.007993024578 -37.9245938428957))"
AS-018095,"POLYGON ((144.987180148259 -37.894487736034, 144.987188987927 -37.894505550147, 144.987202195965 -37.894521636648, 144.987218645532 -37.8945356157927, 144.987238124019 -37.8945469432419, 144.987260307603 -37.894554982637, 144.987283713721 -37.8945598888506, 144.987439209179 -37.894579220164, 144.987521951283 -37.8945850510817, 144.987580267512 -37.8945649611265, 144.987979143648 -37.894345408827, 144.988037465234 -37.8943167576314, 144.988101314683 -37.8942897329101, 144.988165513295 -37.8942665891482, 144.988190962798 -37.8942590939923, 144.988217952699 -37.8943996871586, 144.988158905719 -37.8944215672769, 144.988104692371 -37.8944455125829, 144.988047601407 -37.8944749057874, 144.987576102891 -37.894734579911, 144.987222132556 -37.8946914874515, 144.987180148259 -37.894487736034))"
AS-018094,"POLYGON ((144.988190962798 -37.8942590939923, 144.988231434872 -37.8942469893659, 144.988298970661 -37.8942307514675, 144.988367441131 -37.8942177737162, 144.988437058909 -37.8942086004465, 144.988506924493 -37.8942028558123, 144.988577485196 -37.8942008178102, 144.988648066393 -37.8942022045568, 144.988749610444 -37.894210789155, 144.990034418103 -37.8943898168267, 144.990054398318 -37.8943785330478, 144.99002475876 -37.8945275306479, 144.988728332808 -37.8943491153084, 144.988663680801 -37.8943429636492, 144.988598478522 -37.8943403171056, 144.988533516715 -37.8943413694278, 144.988468686609 -37.894345938523, 144.988404324287 -37.8943542103706, 144.988341005424 -37.8943659244625, 144.988278616344 -37.8943810788569, 144.988217952699 -37.8943996871586, 144.988190962798 -37.8942590939923))"
AS-018096,"POLYGON ((144.997642204555 -37.9153921181995, 144.99769400482 -37.9153569531649, 144.997744648513 -37.9153224893562, 144.998319059624 -37.9158313304159, 144.998340213157 -37.9158482718064, 144.998364173622 -37.9158623772166, 144.998390832202 -37.9158734645599, 144.998419170484 -37.915881336274, 144.998448629736 -37.9158856223849, 144.998478639018 -37.9158864032948, 144.998508407311 -37.9158834853123, 144.998537245093 -37.9158771270569, 144.99856458142 -37.9158674089327, 144.998589842911 -37.9158545014196, 144.998927902959 -37.915619820733, 144.999015281207 -37.9157031329286, 144.99883972939 -37.9158302754224, 144.998703522914 -37.9159242932048, 144.998671595 -37.9159439362052, 144.998637018854 -37.9159605602939, 144.998600254161 -37.9159739930554, 144.998561874303 -37.9159840640092, 144.998522220385 -37.9159907789569, 144.998482098075 -37.9159937911374, 144.998441616194 -37.9159932826353, 144.998401345686 -37.9159891730474, 144.998350222158 -37.9159783903866, 144.998295110768 -37.9159720456858, 144.9976422..."
AS-018098,"POLYGON ((144.997716967077 -37.9150974474092, 144.997581173888 -37.9151930029181, 144.997546847467 -37.9152172007424, 144.996954072447 -37.9146938048716, 144.997109535544 -37.9145608260573, 144.997716967077 -37.9150974474092))"
AS-018097,"POLYGON ((144.995723454308 -37.9136110910174, 144.99589667081 -37.9134861662735, 144.996979488307 -37.9144403788551, 144.996880395026 -37.9145290787207, 144.996830461449 -37.9145415657793, 144.996780384572 -37.914538370071, 144.995723454308 -37.9136110910174))"
AS-018099,"POLYGON ((144.99883972939 -37.9158302754224, 144.999015281207 -37.9157031329286, 144.999056849055 -37.9157139330073, 144.999096616232 -37.9157282169974, 144.999134481249 -37.9157455325912, 144.99916998687 -37.9157659621308, 144.999202126892 -37.9157888576889, 144.999413027228 -37.9159733986684, 144.999427853947 -37.9159845549232, 145.000574538062 -37.9170029026955, 145.000472969718 -37.9170738105084, 144.999096929365 -37.9158635776258, 144.999078518048 -37.9158503777948, 144.999052399599 -37.9158361457083, 144.99902415402 -37.915824851288, 144.998994110201 -37.91581695071, 144.998962720492 -37.9158125417836, 144.998931238023 -37.9158115557061, 144.998899655466 -37.9158142627029, 144.998868996108 -37.9158206801798, 144.99883972939 -37.9158302754224))"
AS-018100,"POLYGON ((144.993734236209 -37.9118607327029, 144.993908220457 -37.9117451960778, 144.995744159764 -37.9133553321042, 144.995570780735 -37.9134736753384, 144.993734236209 -37.9118607327029))"
AS-018101,"POLYGON ((144.988231428981 -37.9053773127962, 144.988266073616 -37.9051868577565, 144.988293696846 -37.9052166180009, 144.989192751788 -37.9053218332682, 144.989217507571 -37.905323247643, 144.98924145443 -37.9053209534024, 144.989253467092 -37.9053183650832, 144.989275301462 -37.9053184678842, 144.98929646934 -37.9053221639598, 144.989316295992 -37.9053291714293, 144.989333874411 -37.9053393846762, 144.989347756152 -37.9053516975479, 144.989359162296 -37.9053672123139, 144.989365882945 -37.9053835481745, 144.98936814546 -37.9054007090161, 144.989365858223 -37.9054178822226, 144.989359040847 -37.9054343471951, 144.989348172577 -37.9054492109557, 144.989333609173 -37.9054619388827, 144.989316042538 -37.9054721823322, 144.989296176834 -37.9054791422865, 144.989274921527 -37.9054828342871, 144.989253198339 -37.9054828235023, 144.989231911831 -37.9054793056245, 144.989193758412 -37.9054645052371, 144.989172283782 -37.905459542266, 144.988272416713 -37.9053548536399, 144.988231428981 -37.9053773127962))"
AS-018103,"POLYGON ((144.999671086639 -37.9137537959135, 144.999593683316 -37.9138061893952, 144.999577809239 -37.9138169137227, 144.998777901387 -37.913112835217, 144.998898847402 -37.9130108977583, 144.999322193753 -37.9133853235678, 144.999333762261 -37.9134033634142, 144.999340973736 -37.9134226809171, 144.99934384282 -37.9134427356255, 144.999342047945 -37.9134628011374, 144.999671086639 -37.9137537959135))"
AS-018102,"POLYGON ((145.008647840444 -37.9105499500662, 145.008918864582 -37.9089983980057, 145.009054460726 -37.9090146608061, 145.008783403375 -37.910563328903, 145.008647840444 -37.9105499500662))"
AS-018104,"POLYGON ((145.008918864582 -37.9089983980057, 145.009151316156 -37.9076663478781, 145.009288799335 -37.907680028924, 145.009054460726 -37.9090146608061, 145.008918864582 -37.9089983980057))"
AS-018106,"POLYGON ((145.01645313766 -37.9734997363333, 145.016471064309 -37.9734131667466, 145.016638646998 -37.9726050380447, 145.01667173169 -37.9724416747445, 145.016848870595 -37.9716166747963, 145.016862757501 -37.9715448160412, 145.017092007218 -37.9715709408167, 145.016959894409 -37.9721950204769, 145.01692097007 -37.9723850498972, 145.016774723981 -37.9730984663669, 145.016753473529 -37.973253558358, 145.016734298475 -37.973263868655, 145.016683967563 -37.9735096677075, 145.01645313766 -37.9734997363333))"
AS-018105,"POLYGON ((145.015977646845 -37.975257630478, 145.016085857585 -37.9752723428841, 145.016300102272 -37.9742282671213, 145.016434549873 -37.9735897191772, 145.01645313766 -37.9734997363333, 145.016683967563 -37.9735096677075, 145.016547497093 -37.9741769289029, 145.016512764409 -37.9743507177893, 145.016330313324 -37.9752457375214, 145.016331496755 -37.9752567516553, 145.016250308314 -37.9756041314281, 145.015977646845 -37.975257630478))"
AS-018107,"POLYGON ((145.016862757501 -37.9715448160412, 145.016880731724 -37.9714522093731, 145.017044561473 -37.9706520368073, 145.017080062631 -37.9704918681419, 145.017245897323 -37.9696804644135, 145.017264705404 -37.9695991362395, 145.017493831723 -37.969583083696, 145.017472699654 -37.9696704105159, 145.017328822089 -37.9704316296125, 145.017291162258 -37.9705832009221, 145.017141250496 -37.9713273760534, 145.017114806641 -37.971463996885, 145.017092007218 -37.9715709408167, 145.016862757501 -37.9715448160412))"
AS-018108,"POLYGON ((145.017264705404 -37.9695991362395, 145.017293176512 -37.9694759768258, 145.017450557949 -37.9687289533359, 145.017486358115 -37.96853643779, 145.017691408978 -37.9675786245014, 145.017710397909 -37.9674778341546, 145.017937727638 -37.9675114044453, 145.017713005948 -37.9685658517011, 145.01767538166 -37.9687288685581, 145.017522244181 -37.9694663214862, 145.017493831723 -37.969583083696, 145.017264705404 -37.9695991362395))"
AS-018109,"POLYGON ((145.017710397909 -37.9674778341546, 145.017727425695 -37.9673864729514, 145.017930453281 -37.9664147469975, 145.017969196713 -37.9662354377984, 145.018054205185 -37.965825669941, 145.018282558879 -37.9658590765442, 145.018260596119 -37.9659562122537, 145.01806479148 -37.9668923745969, 145.018031770751 -37.9670705186336, 145.017937727638 -37.9675114044453, 145.017710397909 -37.9674778341546))"
AS-018110,"POLYGON ((145.018054205185 -37.965825669941, 145.01817269915 -37.9652542569804, 145.018210806985 -37.9650773700859, 145.018330961418 -37.9644991360182, 145.018347793666 -37.9644319225458, 145.018571340473 -37.9644619132426, 145.018535184915 -37.9646509087649, 145.018297931804 -37.9657911175735, 145.018282558879 -37.9658590765442, 145.018054205185 -37.965825669941))"
AS-018111,"POLYGON ((145.018347793666 -37.9644319225458, 145.018364756609 -37.964364080458, 145.018597086556 -37.9632373958249, 145.018639426075 -37.9630385015122, 145.018827561663 -37.9621159059643, 145.019058199155 -37.9621443930321, 145.019033907614 -37.9622732106917, 145.01857741681 -37.9644306551466, 145.018571340473 -37.9644619132426, 145.018347793666 -37.9644319225458))"
AS-018112,"POLYGON ((145.018827561663 -37.9621159059643, 145.01887722483 -37.9618731581171, 145.018929591506 -37.9616399179977, 145.019103737685 -37.9607928739423, 145.019434969438 -37.9592122241792, 145.019456139143 -37.9591148044079, 145.019683330464 -37.9591526042299, 145.019639200523 -37.9593675096593, 145.019600540494 -37.9595440274739, 145.019075325422 -37.9620534837695, 145.019058199155 -37.9621443930321, 145.018827561663 -37.9621159059643))"
AS-018113,"POLYGON ((145.019456139143 -37.9591148044079, 145.019487678169 -37.9589703382637, 145.019574928767 -37.9585484407191, 145.019831463357 -37.9573411451889, 145.019850734247 -37.9572465770618, 145.020075492184 -37.9572773060213, 145.020041951231 -37.9574370584698, 145.020004941795 -37.9576157670737, 145.01983792854 -37.9584225610125, 145.019799768039 -37.9585847588295, 145.019683330464 -37.9591526042299, 145.019456139143 -37.9591148044079))"
AS-018114,"POLYGON ((145.019850734247 -37.9572465770618, 145.019875729222 -37.9571253407268, 145.020022180611 -37.9564229156756, 145.020057913916 -37.9562577931265, 145.020283173478 -37.955171897069, 145.02050718494 -37.9552132463226, 145.020230548542 -37.9565341127105, 145.020193382809 -37.9567144408729, 145.020075492184 -37.9572773060213, 145.019850734247 -37.9572465770618))"
AS-018115,"POLYGON ((145.020283173478 -37.955171897069, 145.020554853278 -37.953861580542, 145.020833443462 -37.9538961878408, 145.020775954841 -37.9539306361517, 145.02050718494 -37.9552132463226, 145.020283173478 -37.955171897069))"
AS-018116,"POLYGON ((145.020554853278 -37.953861580542, 145.020595554781 -37.9536723901396, 145.020850985917 -37.9524200143047, 145.020888894182 -37.952203381317, 145.021146163251 -37.9509499539841, 145.021170551204 -37.9508384395849, 145.021399547644 -37.9508674348169, 145.02113860007 -37.9521393648796, 145.020997780105 -37.9528447704722, 145.02103471339 -37.9530164330753, 145.020966024689 -37.9533791676787, 145.020891357699 -37.9533709722303, 145.020830958723 -37.9536834711047, 145.020833443462 -37.9538961878408, 145.020554853278 -37.953861580542))"
AS-018117,"POLYGON ((145.021170551204 -37.9508384395849, 145.021195200424 -37.9507256679423, 145.021304193203 -37.9501882443105, 145.021346186575 -37.9499719501533, 145.021537017127 -37.9490606576323, 145.021549955606 -37.9489983343852, 145.021778982596 -37.9490217421115, 145.021659913905 -37.9495913486934, 145.021621567984 -37.9497820211239, 145.021399547644 -37.9508674348169, 145.021170551204 -37.9508384395849))"
AS-018118,"POLYGON ((145.021549955606 -37.9489983343852, 145.021567474652 -37.94891373928, 145.021711398331 -37.9482320853126, 145.021737383347 -37.9481033853273, 145.021890017969 -37.9473556418458, 145.021912993477 -37.9472160771905, 145.022062288245 -37.9464993674046, 145.022020232962 -37.9464508082306, 145.022169696278 -37.9464703537681, 145.022335829926 -37.9464920718742, 145.022293986492 -37.946516240463, 145.021850637541 -37.9486753676975, 145.02180473569 -37.9488974539394, 145.021778982596 -37.9490217421115, 145.021549955606 -37.9489983343852))"
AS-018119,"POLYGON ((145.022434006609 -37.9444644764704, 145.022448184408 -37.9443940634041, 145.022577141504 -37.9436884554085, 145.02259807106 -37.943578414381, 145.022746086363 -37.9427730068718, 145.022975610461 -37.9428026384871, 145.022946859827 -37.9429455308387, 145.022663951628 -37.9444870867223, 145.022434006609 -37.9444644764704))"
AS-018120,"POLYGON ((145.022412565735 -37.9445723460521, 145.022434006609 -37.9444644764704, 145.022663951628 -37.9444870867223, 145.022545106355 -37.9451338383374, 145.022479591469 -37.9455231220652, 145.022479498242 -37.9455435769718, 145.02250896488 -37.9457815297084, 145.022405858468 -37.9463334726133, 145.022435381416 -37.9463655999448, 145.022195739906 -37.9463351662214, 145.02208097014 -37.9463204396441, 145.022098719193 -37.9463120869327, 145.022134127968 -37.9461119926938, 145.022067544209 -37.9461039339939, 145.022103829537 -37.9459135870931, 145.022168382589 -37.945920980806, 145.022319842608 -37.9450723761638, 145.022412565735 -37.9445723460521))"
AS-018121,"POLYGON ((145.022746086363 -37.9427730068718, 145.022915340655 -37.9418500834372, 145.022947583195 -37.9416745374045, 145.023068271384 -37.9410223188039, 145.023087283464 -37.9409243210378, 145.023316825844 -37.9409488155888, 145.022994918585 -37.9427063579613, 145.022975610461 -37.9428026384871, 145.022746086363 -37.9427730068718))"
AS-018122,"POLYGON ((145.023087283464 -37.9409243210378, 145.023106564002 -37.9408247957948, 145.023425978072 -37.939134347565, 145.023442570485 -37.939054422504, 145.023669147978 -37.9390831920914, 145.023605536229 -37.9394146539653, 145.023568088488 -37.9396189501521, 145.023563740868 -37.9396325748392, 145.023412941322 -37.9404236085798, 145.023359899319 -37.9407129831171, 145.023316825844 -37.9409488155888, 145.023087283464 -37.9409243210378))"
AS-018123,"POLYGON ((145.023442570485 -37.939054422504, 145.023455280174 -37.9389920049552, 145.023700860745 -37.9377039475501, 145.023713581666 -37.9376368440737, 145.023943356068 -37.9376608005011, 145.023926491609 -37.9377466687941, 145.023669147978 -37.9390831920914, 145.023442570485 -37.939054422504))"
AS-018124,"POLYGON ((145.037026085916 -37.9904388155704, 145.037038768039 -37.9903645913215, 145.037053923828 -37.9902744578006, 145.037955682185 -37.9903839517665, 145.038126838082 -37.9904048311691, 145.039026241008 -37.9905131061317, 145.039110460668 -37.9905232520843, 145.039078260289 -37.9906848341366, 145.037026085916 -37.9904388155704))"
AS-018125,"POLYGON ((145.023713581666 -37.9376368440737, 145.023727045288 -37.9375675001548, 145.023891212095 -37.9366975676251, 145.023922405259 -37.9365355210245, 145.024090362783 -37.9356555586348, 145.024114219099 -37.9355337610208, 145.024341913078 -37.9355544374548, 145.02423771924 -37.9360971729452, 145.023961190328 -37.9375684600902, 145.023943356068 -37.9376608005011, 145.023713581666 -37.9376368440737))"
AS-018126,"POLYGON ((145.024410205452 -37.9339599764675, 145.024772873383 -37.9320198139335, 145.024728748109 -37.931972302337, 145.025761783101 -37.9320978751773, 145.025582032887 -37.9322758128264, 145.025254580693 -37.9324586602536, 145.025085210602 -37.9325802681145, 145.02492809567 -37.9327498434173, 145.024841357088 -37.9332146514456, 145.024711051427 -37.933904290151, 145.024666918467 -37.9339930350236, 145.024410205452 -37.9339599764675))"
AS-018127,"POLYGON ((145.024114219099 -37.9355337610208, 145.024141009183 -37.9353958817753, 145.024410205452 -37.9339599764675, 145.024666918467 -37.9339930350236, 145.024618938683 -37.9340894653211, 145.024475968077 -37.9348525163678, 145.02443882911 -37.9350412280043, 145.024341913078 -37.9355544374548, 145.024114219099 -37.9355337610208))"
AS-018128,"POLYGON ((145.039078260289 -37.9906848341366, 145.039110460668 -37.9905232520843, 145.039198879597 -37.9905339185919, 145.040309115221 -37.9906656154575, 145.040293141549 -37.9907438404576, 145.040275861859 -37.9908283518222, 145.039078260289 -37.9906848341366))"
AS-018130,"POLYGON ((144.996039230021 -37.9312445353203, 144.996056738004 -37.9310564901791, 144.998197701455 -37.9313102152548, 144.998895633128 -37.9313929221113, 144.998870948874 -37.931531191471, 144.997362348327 -37.9313484440897, 144.997358856081 -37.9313597393104, 144.997112004747 -37.9313288619096, 144.996854027165 -37.9313013090624, 144.996091279685 -37.9312173958219, 144.996039230021 -37.9312445353203))"
AS-018129,"POLYGON ((145.040500368666 -37.9908855327369, 145.040523686693 -37.9907709330306, 145.040539942891 -37.9906906400317, 145.042298098665 -37.9913061350685, 145.042253348818 -37.9913874858332, 145.042214233346 -37.9914582065676, 145.040534528534 -37.9908684392758, 145.040500368666 -37.9908855327369))"
AS-018131,"POLYGON ((145.027644380094 -37.9779742769906, 145.027668808909 -37.9778059891285, 145.027849091353 -37.9778249636149, 145.029004982611 -37.9782379728872, 145.028990022898 -37.9782652075843, 145.029009820167 -37.9782954580409, 145.029005230422 -37.978398924697, 145.028619916868 -37.9783582210094, 145.028401921017 -37.9782041618656, 145.027792194151 -37.9779898232132, 145.027644380094 -37.9779742769906))"
AS-018132,"POLYGON ((144.99365177845 -37.9309428605611, 144.993683703701 -37.9307771402668, 144.9940864637 -37.9308274452842, 144.995886749956 -37.9310358411765, 144.995865546501 -37.9311756110188, 144.995250948987 -37.9310996233842, 144.994843762292 -37.9310530317667, 144.994672153185 -37.9310334347748, 144.993690514522 -37.9309200008693, 144.99365177845 -37.9309428605611))"
AS-018133,"POLYGON ((145.025380089775 -37.9777351341657, 145.025412400172 -37.9775405751245, 145.025441744989 -37.9775713469653, 145.027668808909 -37.9778059891285, 145.027644380094 -37.9779742769906, 145.025380089775 -37.9777351341657))"
AS-018134,"POLYGON ((145.029005230422 -37.978398924697, 145.029009820167 -37.9782954580409, 145.029574667719 -37.978357643016, 145.029616759839 -37.9783332960549, 145.029592153139 -37.9784615697484, 145.029005230422 -37.978398924697))"
AS-018135,"POLYGON ((145.028301710505 -37.9789877545688, 145.028428743128 -37.9782441726483, 145.028401921017 -37.9782041618656, 145.028619916868 -37.9783582210094, 145.028507705389 -37.979011755165, 145.028301710505 -37.9789877545688))"
AS-018136,"POLYGON ((145.051342240935 -37.9812971960413, 145.051548199101 -37.9813231383256, 145.051109988996 -37.9836033931687, 145.05093612248 -37.9835821273957, 145.050902983724 -37.9835780635159, 145.051342240935 -37.9812971960413))"
AS-018137,"POLYGON ((145.051342240935 -37.9812971960413, 145.051641832424 -37.9797416127047, 145.051758714325 -37.9797561657168, 145.051847565935 -37.9797672803525, 145.051548199101 -37.9813231383256, 145.051342240935 -37.9812971960413))"
AS-018138,"POLYGON ((145.050329977523 -37.9858133644829, 145.050530347548 -37.9855949103013, 145.050562278239 -37.9855155965443, 145.050724656058 -37.9846804759336, 145.050938444389 -37.9845442494205, 145.050961008149 -37.9843154572589, 145.050867910322 -37.983978410329, 145.050865527 -37.983948001566, 145.05093612248 -37.9835821273957, 145.051109988996 -37.9836033931687, 145.051042402817 -37.9839545382302, 145.05113576301 -37.9843032144058, 145.051106374253 -37.9846135390064, 145.050886349743 -37.9847530868718, 145.050737989819 -37.9855318469794, 145.050687175482 -37.9856492373227, 145.05050959142 -37.9858370695239, 145.050511935509 -37.9858431461926, 145.050494254795 -37.9858572716653, 145.050329977523 -37.9858133644829))"
AS-018139,"POLYGON ((144.986753394824 -37.8952420124334, 144.986781551615 -37.8952269940976, 144.986868402954 -37.8947564481286, 144.98687379121 -37.8947381564823, 144.986883355653 -37.894721017687, 144.986897079103 -37.8947056622657, 144.986914037507 -37.8946926151086, 144.986974135913 -37.8946613814605, 144.987025365631 -37.8946676648961, 144.986994922928 -37.8944201338496, 144.986983715543 -37.8943473079457, 144.986976064126 -37.8943276216926, 144.986963940506 -37.894309300798, 144.986933069586 -37.8942778625789, 144.98692082005 -37.8942599901099, 144.986912815393 -37.8942407483935, 144.986909381885 -37.8942206837136, 144.986910161348 -37.8942004207606, 144.986915818594 -37.894180601726, 144.986925540784 -37.8941618435206, 144.986939308286 -37.8941448667424, 144.986956772742 -37.8941299357806, 144.986977118864 -37.8941177576205, 144.986999884634 -37.894108594707, 144.987024603123 -37.8941028896351, 144.987049796691 -37.8941006171253, 144.987075346769 -37.8941019553824, 144.987100230376 -37.8941068869065, 144.98712..."
AS-018140,"POLYGON ((145.019869056923 -37.9310159230004, 145.019908119215 -37.9309933304182, 145.020264583236 -37.9289700800509, 145.020435637249 -37.9289935053751, 145.020080285855 -37.9310136209442, 145.020110576246 -37.931046572824, 145.019994465951 -37.9310318218767, 145.019869056923 -37.9310159230004))"
AS-018141,"POLYGON ((145.020264583236 -37.9289700800509, 145.020590824737 -37.9271184424147, 145.020589040949 -37.9271043541707, 145.020582911719 -37.927091093975, 145.020572529024 -37.9270794744264, 145.020558897002 -37.9270702333553, 145.020542908487 -37.9270640166023, 145.020525347424 -37.9270612879425, 145.020815898475 -37.9271000607248, 145.020798811968 -37.9271050901394, 145.020783915277 -37.9271133104853, 145.020771789071 -37.927124280949, 145.020763594684 -37.9271371199026, 145.020759574049 -37.9271512907166, 145.020651674318 -37.9277596563776, 145.020620139903 -37.9279809934231, 145.020612291378 -37.9279936579493, 145.020608960224 -37.9280075700067, 145.020435637249 -37.9289935053751, 145.020264583236 -37.9289700800509))"
AS-018142,"POLYGON ((144.996154247003 -37.9101602000289, 144.996437394193 -37.9099616287921, 144.998285039264 -37.9115894076724, 144.998017624204 -37.9117572508438, 144.99728654054 -37.9111129093969, 144.997183444527 -37.9110264446333, 144.996208928414 -37.9101654569646, 144.996154247003 -37.9101602000289))"
AS-018143,"POLYGON ((145.01546199409 -37.9179398700421, 145.015604202098 -37.9181298021564, 145.015272110083 -37.9180931997756, 145.015245426005 -37.9180913978392, 145.015218645069 -37.9180931989387, 145.015192676901 -37.9180986184205, 145.015147318315 -37.9181144346579, 145.01512215817 -37.9181194171723, 145.015095730442 -37.9181207736184, 145.015070309212 -37.9181185423648, 145.015045323542 -37.9181128038957, 145.015021905632 -37.9181037575488, 145.015000960269 -37.9180915988253, 145.01498281888 -37.9180766937864, 145.014968376564 -37.9180595982379, 145.014957964743 -37.9180406782411, 145.014951677744 -37.9180206563237, 145.014950069551 -37.9180000825354, 145.014953007083 -37.917979675566, 145.01496025324 -37.917959791882, 145.014971783802 -37.9179413322429, 145.014987245546 -37.9179247412719, 145.015006055424 -37.9179105498311, 145.01502763523 -37.9178991086306, 145.015051520466 -37.9178907702992, 145.015076791818 -37.9178858797922, 145.015102759805 -37.9178846958264, 145.015128638191 -37.9178868446684, 145.015153..."
AS-018144,"POLYGON ((145.015961066258 -37.9447178231626, 145.015990622825 -37.9445666555863, 145.016004775101 -37.9445820338938, 145.017444150289 -37.9447611252681, 145.017484394522 -37.9447372018006, 145.017446333757 -37.9449296800547, 145.01741667805 -37.9448983603039, 145.015961066258 -37.9447178231626))"
