Reference,WKT Polygon
AS-017865,"POLYGON ((145.03332722276 -37.9845074621275, 145.033348015385 -37.9843726355538, 145.035400428681 -37.9846114212338, 145.035455313861 -37.9845813383071, 145.035416998951 -37.9847756195968, 145.035384898906 -37.9847454349815, 145.03332722276 -37.9845074621275))"
AS-017866,"POLYGON ((145.010737726081 -37.9126542993607, 145.010824679878 -37.9118078594911, 145.010837324382 -37.911684703207, 145.010919328639 -37.9109290173098, 145.010932961115 -37.9108494041812, 145.011076932859 -37.9108715737727, 145.01106367151 -37.9109711991542, 145.010877318434 -37.9126702672298, 145.010808826104 -37.9126624405366, 145.010737726081 -37.9126542993607))"
AS-017867,"POLYGON ((144.998597013644 -37.8883878963795, 144.998698748267 -37.8885067788558, 144.997890760828 -37.8889379422983, 144.997794642936 -37.8888258233698, 144.998595018527 -37.8883985863782, 144.998597013644 -37.8883878963795))"
AS-017868,"POLYGON ((145.010932961115 -37.9108494041812, 145.010944584914 -37.9107810217077, 145.011115097062 -37.9094122342116, 145.011249669388 -37.909618623974, 145.011224167812 -37.909632161029, 145.011086241768 -37.9108004486417, 145.011076932859 -37.9108715737727, 145.010932961115 -37.9108494041812))"
AS-017869,"POLYGON ((144.98893702039 -37.9143084010589, 144.989104959966 -37.9142774780088, 144.989494337682 -37.9157349199381, 144.989395201615 -37.9157287198638, 144.989314694932 -37.9157234689221, 144.98893702039 -37.9143084010589))"
AS-017870,"POLYGON ((145.036510033029 -37.9521718847927, 145.036540317259 -37.9521543670392, 145.036700723393 -37.9514300732058, 145.036949059758 -37.9503224481951, 145.03711372263 -37.9503400657306, 145.036881657793 -37.9514265149301, 145.036711668053 -37.9521774137163, 145.036730891139 -37.9521991823916, 145.036510033029 -37.9521718847927))"
AS-017871,"POLYGON ((144.988542639617 -37.9128974619269, 144.988784444796 -37.912927459374, 144.988751194755 -37.9129538358165, 144.989104959966 -37.9142774780088, 144.98893702039 -37.9143084010589, 144.988564827985 -37.9129138820435, 144.988542639617 -37.9128974619269))"
AS-017872,"POLYGON ((145.036949059758 -37.9503224481951, 145.037380254597 -37.9483216625473, 145.037347291406 -37.9482859669384, 145.037592578201 -37.9483143012747, 145.037551096503 -37.948337850552, 145.037171961308 -37.9500675333358, 145.03711372263 -37.9503400657306, 145.036949059758 -37.9503224481951))"
AS-017873,"POLYGON ((145.00757263484 -37.9389012065815, 145.007887281996 -37.9371936010325, 145.007866934023 -37.937171808673, 145.008086231616 -37.9372000343096, 145.008062827151 -37.9372155885889, 145.007750195187 -37.9389034932615, 145.007774381393 -37.9389264320492, 145.007654399636 -37.9389114230093, 145.00757263484 -37.9389012065815))"
AS-017874,"POLYGON ((145.01676575821 -37.9063089168637, 145.016777849834 -37.9062440561512, 145.016790401001 -37.9061747874456, 145.018138727657 -37.906324121721, 145.018127723131 -37.9063824223497, 145.018113083402 -37.9064575136391, 145.01676575821 -37.9063089168637))"
AS-017875,"POLYGON ((145.007493904936 -37.9115198062685, 145.007522501015 -37.9113578999383, 145.007531067707 -37.9113692195145, 145.010837324382 -37.911684703207, 145.010824679878 -37.9118078594911, 145.007534095282 -37.9114930913896, 145.007493904936 -37.9115198062685))"
AS-017876,"POLYGON ((145.051087630812 -37.9764526358854, 145.051035621685 -37.9765896522251, 145.050558979732 -37.9765539950682, 145.050319947267 -37.9765393981657, 145.049486228156 -37.9764800624747, 145.049511817922 -37.9763434196613, 145.051087630812 -37.9764526358854))"
AS-017877,"POLYGON ((145.051035621685 -37.9765896522251, 145.051087630812 -37.9764526358854, 145.051415863912 -37.9765898261526, 145.051825724999 -37.9766409548747, 145.052030994786 -37.9766666144382, 145.053456490932 -37.9768509892001, 145.053423705424 -37.9770146389153, 145.053394085969 -37.9769808955445, 145.051360845275 -37.9767201241391, 145.051035621685 -37.9765896522251))"
AS-017878,"POLYGON ((145.01876788737 -37.9477415072189, 145.019107987167 -37.9460782770882, 145.019279699715 -37.9460998231087, 145.019124820321 -37.9468582491432, 145.019096933952 -37.9469940357146, 145.018939233365 -37.9477641289968, 145.01876788737 -37.9477415072189))"
